[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0]	[1,9]#[0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2000000476837158]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0]	[1,9]#[-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]	[1,9]#[0.0,0.0,0.4000000059604645,0.0,0.699999988079071,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0]	[1,9]#[0.0,0.0,0.0,0.0,0.0,0.0,-0.19999998807907104,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0]	[1,9]#[0.018750006332993507,-1.2000000476837158,-0.7749999761581421,-0.6000000238418579,-0.6000000238418579,0.0,0.0,-0.6000000238418579,-0.824999988079071]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0]	[1,9]#[0.0,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]	[1,9]#[-1.178849220275879,-0.9298231601715088,0.5,-1.25,0.0,-1.2530182600021362,-0.13750001788139343,-1.149999976158142,-1.1887788772583008]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0]	[1,9]#[-0.6625000238418579,-0.824999988079071,-0.659375011920929,-0.746874988079071,0.0,-0.6000000238418579,-0.512499988079071,-0.638671875,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0]	[1,9]#[-0.550000011920929,-0.6000000238418579,-0.050000011920928955,-0.5,0.0,-0.6000000238418579,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0]	[1,9]#[0.6500000357627869,0.0,0.0,0.0,0.0,-1.2000000476837158,0.0,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0]	[1,9]#[-0.28437501192092896,-0.9750000238418579,-0.9125000238418579,-0.875,0.0,-0.9624999761581421,-1.100000023841858,0.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0]	[1,9]#[-1.0125000476837158,-1.0,0.28076171875,-1.0750000476837158,0.0,-1.0,0.0,-1.0,0.0]
[3,3,2]#[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0]	[1,9]#[-1.0125000476837158,-1.0989257097244263,-1.125,-1.088476538658142,0.0,-1.100000023841858,0.0,0.0,-1.0499999523162842]
